text,ipa
ব ে শ ি ক ্ ষ ণ,b e ʃ i k k ʰ o n
ত ন া,t ̪ ɔ n ɐ
চ ড় ু ই ক ো ল,c o ɽ u ͡ i ̯ k o l
ব ো ঝ া প ড় া র,b o ɟ ʱ ɐ p ɔ ɽ ɐ ɾ
"প ্ ল ট ,","p l ɔ t ,"
য থ া র ্ থ ভ া ব ে ই,ɟ ɔ t ̪ ʰ ɐ ɾ t ̪ ʰ o b ʱ ɐ b e ͡ i ̯
প ক ্ ষ প া ত ।,p o k k ʰ o p ɐ t ̪ ।
দ ু ই ভ া ব ে,d ̪ u ͡ i ̯ b ʱ ɐ b e
ক র া স হ,k ɔ ɾ ɐ ʃ ɔ h o
ম ু ন ছ ু র,m u n c ʰ u ɾ
ফ খ র ু ল,p ʰ o k ʰ ɾ u l
ক ে ঁ প ে,k e ̃ p e
আ উ য় া ল স হ,ɐ ͡ u ̯ ʷ ɐ l ʃ ɔ h
স ু ব র ্ ণ া ক ে,ʃ u b ɔ ɾ n ɐ k e
র ো জ া দ া র ক ে,ɾ o ɟ ɐ d ̪ ɐ ɾ k e
গ ত ি শ ী ল,g o t ̪ i ʃ i l
য া ব ে ই,ɟ ɐ b e ͡ i ̯
উ দ ্ য া প ন ে,u d ̪ d ̪ ɐ p o n e
এ ক র ঙ া,ɛ k ɾ o ŋ ɐ
হ র ণ,h ɔ ɾ o n
ন ি য় ন ্ ত ্ র ণ ে র,n i ʲ o n t ̪ ɾ o n e ɾ
ক ্ ল া স ে র,k l ɐ s e ɾ
"র া খ ে ,","ɾ ɐ k ʰ e ,"
ব ন প া ড় া,b ɔ n p ɐ ɽ ɐ
অ ল র া উ ন ্ ড া র ।,ɔ l o ɾ ɐ ͡ u ̯ n d ɐ ɾ ।
ক ু শ ি য় া র ব া গ ে ।,k u ʃ i ʲ ɐ ɾ b ɐ g e ।
ক র ্ র ্ ম ী,k ɔ ɾ ɾ o ͡ i ̯
ক ে ট ে,k e t e
জ হ ি র ে র,ɟ ɔ h i ɾ e ɾ
ব ি ট ি আ র স ি,b i t i ͡ ɐ ̯ c ʰ o ʃ i
ফ র া জ ী,p ʰ ɔ ɾ ɐ ɟ i
"উ প ক র ণ ,","u p o k ɔ ɾ o n ,"
"ক ি ন ত ে ,","k i n t ̪ e ,"
আ ল - ক া র ি ম,ɐ l - k ɐ ɾ i m
ক া ঞ ্ চ ন ন গ র ে,k ɐ n c ɔ n n g o ɾ e
ব ী র ু,b i ɾ u
ক র ্ ম র ত,k ɔ ɾ m o ɾ ɔ t ̪ o
ব স ে ছ ি ল,b o ʃ e c ʰ i l o
জ ন ্ ম দ া ন ে,ɟ ɔ n m o d ̪ ɐ n e
ব া ন ি য় ে ছ ে ন ।,b ɐ n i ʲ e c ʰ e n ।
ভ ি জ ্ য ু য় া ল ে র,b ʱ i ɟ ɟ u ʷ ɐ l e ɾ
ট া ই ম ি ং ।,t ɐ ͡ i ̯ m i ŋ ।
খ া ঁ চ া র,k ʰ ɐ ̃ c ɐ ɾ
স ্ ব া স ্ থ ্ য ক ে ন ্ দ ্ র ে,ʃ ɐ s t ̪ ʰ o k e n d ̪ ɾ e
"ব ি ল ক ি স ,","b i l k i ʃ ,"
ব ি ভ ক ্ ত ি,b i b ʱ ɔ k t ̪ i
জ ে ক ে র,ɟ e k e ɾ
ন ি উ গ ি ন ি র,n i ͡ u ̯ g i n i ɾ
শ ন ি র,ʃ o n i ɾ
ভ া গ ন া,b ʱ ɐ g o n ɐ
ব র ম চ া ল,b ɔ ɾ m c ɐ l
ব া হ ি ন ী র,b ɐ h i n i ɾ
দ ু য় ে,d ̪ u ʲ e
"স ং ক ট ,","ʃ ɔ ŋ k ɔ t ,"
প ্ র ত ি ম ন ্ ত ্ র ী র,p ɾ o t ̪ i m ɔ n t ̪ ɾ i ɾ
ও ল ট - প া ল ট,o l t - p ɐ l t
ব া জ ি ত ।,b ɐ ɟ i t ̪ o ।
"স া ম ন ে ,","ʃ ɐ m n e ,"
স হ - স ম ্ প া দ ক ে র,ʃ ɔ h o - ʃ ɔ l p ɐ d ̪ o k e ɾ
স ্ ব জ ন হ া র া,ʃ ɔ ɟ ɔ n h ɐ ɾ ɐ
ভ ি ট া ম ি ন,b ʱ i t ɐ m i n
"গ া ঁ জ া ,","g ɐ ̃ ɟ ɐ ,"
এ ক ন া য় ক ত ্ ব,ɛ k n ɐ ʲ o k ɔ t ̪ t ̪ o
র ন ্ ট ি,ɾ ɔ n t i
স ে স ব ে,ʃ e ʃ ɔ b e
ক া স ে ম,k ɐ ʃ e m
ভ া ঙ ন ে,b ʱ ɐ ŋ o n e
ধ ু য় ে,d ̪ ʱ u ʲ e
উ দ া হ র ণ,u d ̪ ɐ h ɔ ɾ o n
আ ড় া ন ী,ɐ ɽ ɐ n i
চ া ঙ ্ গ া ।,c ɐ ŋ g ɐ ।
থ া ম ত ।,t ̪ ʰ ɐ m t ̪ ।
"খ ে ল া ধ ু ল া ,","k ʰ e l ɐ d ̪ ʱ u l ɐ ,"
ন র স ি ম হ া,n ɔ ɾ o ʃ i m ɔ h ɐ
ট ু ম ্ প া র,t u m p ɐ ɾ
"আ ছ ে ,","ɐ c ʰ e ,"
ঝ ড় ।,ɟ ʱ ɔ ɽ ।
চ ে হ া র া র,c e h ɐ ɾ ɐ ɾ
ব ী র প ্ র ত ী ক ।,b i ɾ p ɾ o t ̪ i k ।
গ ্ ল া ভ স ে,g l ɐ b ʱ ʃ e
হ ্ য া র ি,h ɛ ɾ i
ছ ো ড় া ছ ু ড় ি,c ʰ o ɽ ɐ c ʰ u ɽ i
