,Inflected_Word,POS
193,শ্যাননের,NNP
194,জন্ম,NN
195,মিশিগানের,NNP
196,পেটস্কি,NNP
197,শহরে,NNP
198,জীবনের,NN
199,প্রথম,JJ
200,১৬,NUM
201,বছর,NN
202,কাটিয়েছেন,VB
203,মিশিগানের,NNP
204,গেলর্ড,NNP
205,শহরে,NNP
206,তিনি,PRP
207,সেখানকার,JJ
208,গেলর্ড,NNP
209,হাই,NN
210,স্কুল,NN
211,হতে,VB
212,১৯৩২,NUM
213,খ্রীস্টাব্দে,CD
214,পাস,VB
215,করেন,VB
216,কিশোর,RB
217,বয়সে,NN
218,তিনি,PRP
219,ওয়েস্টার্ন,NNP
220,ইউনিয়ন,NN
221,এর,PRP
222,বার্তাবাহক,NN
223,হিসাবে,RB
224,কাজ,NN
225,করেছেন,VB
226,তিনি,PRP
227,টমাস,NNP
228,আলভা,NNP
229,এডিসন,NNP
230,এর,PRP
231,দূর,JJ
232,সম্পর্কের,NN
233,আত্মীয়,NN
234,সেখানে,RB
235,তিনি,PRP
236,জর্জ,NNP
237,বূল,NNP
238,এর,PRP
239,তত্ত্ব,NN
240,সম্পর্কে,IN
241,জানতে,VB
242,পারেন,VB
243,রাজ্যের,NN
244,উত্তরে,NN
245,হিমালয়,NN
246,পর্বতমালা,NN
247,ও,CC
248,দক্ষিণে,NN
249,বঙ্গোপসাগর,NNP
250,অবস্থিত,JJ
251,পশ্চিমবঙ্গ,NNP
252,একাধিক,JJ
253,ভৌগোলিক,JJ
254,অঞ্চলে,NNS
255,বিভক্ত,VBN
256,বর্তমানে,JJ
257,পশ্চিমবঙ্গ,NNP
258,৫টি,NUM
259,বিভাগ,NNS
260,ও,CC
261,২৩টি,NUM
262,জেলায়,NNS
263,বিভক্ত,VBN
264,বিভাগগুলি,NNS
265,বিভাগীয়,JJ
266,কমিশনার,NN
267,ও,CC
268,জেলাগুলি,unk
269,জেলাশাসকের,NNP
270,দ্বারা,JJ
271,শাসিত,VB
272,হয়,VB
273,রাজ্যের,NN
274,রাজধানী,NN
275,কলকাতা,NN
276,কলকাতা,NN
277,জেলায়,NN
278,অবস্থিত,JJ
279,অন্যান্য,JJ
280,জেলাগুলি,NNS
281,মহকুমা,NNS
282,ও,CC
283,ব্লকে,unk
284,বিভক্ত,VBN
285,এগুলি,DT
286,যথাক্রমে,RB
287,মহকুমা,JJ
288,শাসক,NNP
289,ও,CC
290,ব্লক,NN
291,উন্নয়ন,NNP
292,আধিকারিকের,unk
293,দ্বারা,IN
294,শাসিত,VB
295,হয়,VB
296,এই,DT
297,রাজ্যের,NN
298,পঞ্চায়েত,NN
299,ব্যবস্থা,NN
300,ত্রিস্তরীয়,NN
301,এই,DT
302,সালেই,NN
303,ঘোষিত,VB
304,আরো,JJ
305,দুটি,CD
306,জেলা,NNS
307,হল,VB
308,ঝাড়গ্রাম,NNP
309,জেলা,NN
310,ও,CC
311,কালিম্পং,NNP
312,জেলা,NN
313,উত্তরবঙ্গ,NNP
314,তিনটি,CD
315,প্রধান,JJ
316,ভৌগোলিক,JJ
317,অঞ্চলে,NNS
318,বিভক্ত,VBN
319,১৮৫১,NUM
320,খ্রিস্টাব্দে,CD
321,ড্যানিয়েল,NNP
322,উইলসন,NNP
323,এটি,PRP
324,ইংরেজি,NN
325,ভাষায়,NNP
326,উপস্থাপন,NN
327,করেন,VB
328,প্রাক,JJ
329,ইতিহাস,NN
330,মহাবিশ্বের,NN
331,জন্মাবধি,RB
332,বিস্তৃত,VBG
333,বলে,VB
334,কল্পনা,VB
335,করে,VB
336,নেওয়া,NN
337,যায়,VB
338,এই,DT
339,যন্ত্রাংশগুলি,NNS
340,অর্ধপরিবাহী,NN
341,পদার্থ,NN
342,দিয়ে,IN
343,প্রস্তুত,VB
344,করা,VB
345,হয়,VB
346,ডিজিটাল,NNP
347,সমন্বিত,RB
348,বর্তনীসমূহ,NNS
349,আইসি,NNP
350,মূলত,RB
351,ট্রানজিস্টর,NNS
352,দিয়ে,IN
353,তৈরি,RB
354,অ্যানালগ,NNP
355,বর্তনীতে,NNS
356,সাধারণত,RB
357,রোধ,NNS
358,এবং,CC
359,ধারক,NNS
360,থাকে,VB
361,কিছু,PRP
362,উচ্চ,JJ
363,কম্পাঙ্কের,NN
364,অ্যানালগ,NN
365,বর্তনীতে,NNS
366,আবেশক,JJ
367,ব্যবহার,VBN
368,করা,VB
369,হয়ে,VB
370,থাকে,VB
371,এগুলি,DT
372,পরজীবী,JJ
373,প্রভাব,NNS
374,parasitic,JJ
375,effects,NNS
376,হিসেবে,IN
377,পরিচিত,VBN
378,ইন্টেল,NNP
379,আধুনিক,JJ
380,প্রযুক্তি,NN
381,চিপ,NNS
382,নকশা,NN
383,এবং,CC
384,উৎপাদন,VB
385,করায়,VB
386,সমর্থ,JJ
387,ইন্টেল,NNP
388,ইলেক্ট্রিকাল,JJ
389,ট্রান্সমিশন,NN
390,এবং,CC
391,প্রজন্মে,NN
392,গবেষনা,NN
393,শুরু,NN
394,করেছে,VB
395,এটি,PRP
396,এসেছে,VB
397,ইন্টিগ্রেটেড,JJ
398,ইলেক্ট্রনিকস,NNS
399,থেকে,VB
400,সংক্ষেপে,JJ
401,ইন্টেল,NNP
402,এদের,PRP
403,প্রাথমিক,RB
404,পণ্য,RB
405,ছিল,VB
406,স্ট্যাটিক,JJ
407,র‍্যানডম,NN
408,একসেস,NN
409,মেমোরি,NN
410,চিপ,NN
411,তাদের,PRP
412,ব্যবসায়িক,JJ
413,মৌলিক,NNS
414,দিকও,NNS
415,পরিবর্তন,VB
416,করেন,VB
417,১৯৮০,NUM
418,দশকের,CD
419,শেষের,JJ
420,দিকে,IN
421,তার,PRP
422,এই,DT
423,সিদ্ধান্ত,NN
424,সফল,JJ
425,প্রমানিত,VBD
426,হয়,VB
427,প্রতিযোগিরা,NNS
428,বিশেষ,RB
429,করে,VB
430,এএমডি,NNP
431,শেয়ার,NN
432,বাজারের,NN
433,বড়,JJ
434,অংশ,NN
435,অধিগ্রহণ,NN
436,করে,VB
437,কিন্তু,CC
438,এইসব,DT
439,প্রচেষ্টার,NNS
440,কিছু,DT
441,মাত্র,RB
442,সাফল্য,NN
443,এনেছিল,VB
444,তার,PRP
445,আগ,RB
446,পযর্ন্ত,TO
447,ইন্টেল,NNP
448,কিছু,JJ
449,বছর,NNS
450,মামলায়,NNS
451,জড়িত,VBN
452,ছিল,VB
453,যার,PRP
454,প্রধান,JJ
455,কার্যালয়,NN
456,সান্তা,NNP
457,ক্লারা,NNP
458,ক্যালিফোর্নিয়াতে,NNP
459,অবস্থিত,JJ
460,এটি,PRP
461,২৪শে,NUM
462,ফেব্রুয়ারি,NN
463,১৯৮২,NUM
464,সালে,unk
465,প্রতিষ্ঠিত,VBN
466,বিনোদ,NNP
467,খোসলা,NNP
468,এর,PRP
469,অন্যতম,RB
470,প্রতিষ্ঠাতা,NNS
471,৪৪,NUM
472,তে,RB
473,তাকে,PRP
474,কয়েকজন,PRP
475,ষড়যন্ত্রকারীরা,NNS
476,হত্যা,VB
477,করে,VB
478,ফলস্বরূপ,NN
479,গৃহযুদ্ধ,NN
480,এবং,CC
481,হত্যালীলা,NNS
482,অব্যাহত,JJ
483,থাকে,VB
484,রোমান,NNP
485,প্রজাতন্ত্র,NNP
486,প্রায়,IN
487,১৪০০,NUM
488,বছর,NN
489,ধরে,VB
490,প্রচলিত,VB
491,ছিল,VB
492,অক্টেভিয়ানের,NN
493,পর,JJ
494,এটাই,DT
495,ছিল,VB
496,সর্ববৃহৎ,JJS
497,রাজ্য,NN
498,বিস্তারের,NN
499,ঘটনা,NN
500,তার,PRP
501,পুত্র,NN
502,পরবর্তী,RB
503,সম্রাট,RB
504,টাইটাসে,NNP
505,রোমের,NNP
506,বিখ্যাত,JJ
507,কলোসিয়াম,NNP
508,নির্মাণ,VB
509,করে,VB
510,এরপর,RB
511,সিনেট,NNP
512,পাঁচজন,CD
513,সম্রাটকে,NNS
514,বাছাই,VBD
515,করে,VB
516,এরপর,RB
517,সেপ্টিমাস,NNP
518,সেভেরাস,NNP
519,সম্রাট,NN
520,হয়,VB
521,নগরীর,NN
522,পতনের,NN
523,আগ,IN
524,মুহূর্ত,NN
525,পর্যন্ত,IN
526,এটি,PRP
527,ছিল,VB
528,প্রাচ্যের,NNP
529,রাজধানী,NN
530,তিনি,PRP
531,খ্রিস্টান,NNP
532,ধর্ম,NN
533,গ্রহণ,VB
534,করার,VB
535,পর,IN
536,রাষ্ট্রধর্ম,NN
537,হিসেবে,IN
538,এটা,PRP
539,গৃহীত,VB
540,হয়,VB
541,এটি,PRP
542,ছিল,VB
543,প্রাচীন,JJ
544,কালের,JJ
545,এবং,CC
546,পৃথিবীর,NN
547,বৃহত্তম,JJS
548,সাম্রাজ্যসমূহের,NNS
549,একটি,CD
550,সুমের,NNP
551,এবং,CC
552,আক্কাদ,NNP
553,নামের,NN
554,এলাকা,NN
555,দুইটি,CD
556,ব্যাবিলনিয়ার,NNP
557,অংশ,NN
558,ছিলো,VB
559,তিনি,PRP
560,বাংলাদেশের,NNP
561,প্রথম,JJ
562,ও,CC
563,মুসলিম,NN
564,বিশ্বের,NNP
565,দ্বিতীয়,JJ
566,মহিলা,NN
567,প্রধানমন্ত্রী,NN
568,আগস্ট,NN
569,১৫,NUM
570,১৯৪৬,NUM
571,সালে,NN
572,জলপাইগুড়িতে,NNP
573,তিনি,PRP
574,জন্ম,NN
575,গ্রহণ,NN
576,করেন,VB
577,তিন,RB
578,বোন,NN
579,এবং,CC
580,দুই,CD
581,ভাইয়ের,NN
582,মধ্যে,RB
583,তিনি,PRP
584,তৃতীয়,JJ
585,ভাইয়েরা,NNS
586,সবার,VB
587,ছোট,VB
588,তাঁর,PRP
589,পিতামহ,NN
590,হাজী,NNP
591,সালামত,NNP
592,আলী,NNP
593,মাতামহ,NN
594,জলপাইগুড়ির,NNP
595,তোয়াবুর,NNP
596,রহমান,NNP
597,বাবা,NNP
598,জনাব,NNP
599,ইস্কান্দর,NNP
600,মজুমদার,NNP
601,এবং,CC
602,মা,NNP
603,বেগম,NNP
604,তৈয়বা,NNP
605,মজুমদার,NNP
606,স্থায়ী,JJ
607,নিবাস,NN
608,দিনাজপুর,NNP
609,শহরের,NN
610,মুদিপাড়া,NNP
611,বাবা,NNP
612,জনাব,NNP
613,ইস্কান্দর,NNP
614,মজুমদার,NNP
615,ছিলেন,VB
616,একজন,DT
617,ব্যবসায়ী,NN
618,এ,DT
619,গানের,NN
620,রচয়িতা,NN
621,ও,CC
622,সুরকার,NN
623,রবীন্দ্রনাথ,NNP
624,ঠাকুর,NNP
625,গানটির,NN
626,পাণ্ডুলিপি,NN
627,পাওয়া,VB
628,যায়নি,VB
629,তাই,IN
630,এর,PRP
631,সঠিক,JJ
632,রচনাকাল,NN
633,জানা,VB
634,যায়,VB
635,না,VB
636,তবে,JJ
637,৭,NUM
638,অগস্ট,NN
639,উক্ত,JJ
640,সভায়,NN
641,এই,DT
642,গানটি,NN
643,গীত,VBN
644,হওয়ার,VB
645,কোনো,PRP
646,প্রমাণ,NN
647,পাওয়া,VB
648,যায়,VB
649,না,DT
650,তিনি,PRP
651,টেস্ট,NN
652,ক্রিকেটে,NN
653,বাংলাদেশের,NNP
654,নেতৃত্বদানকারী,
655,উইকেট,NN
656,শিকারি,NN
657,ছিলেন,VB
658,তিনি,PRP
659,একজন,DT
660,বাঁ,JJ
661,হাতি,JJ
662,স্পিনার,NN
663,১৯৯৫,NUM
664,সালের,NN
665,ওয়ানডে,NNP
666,অভিষেকেও,NN
667,প্রতিপক্ষ,NNS
668,ছিল,VB
669,ভারত,NNP
670,আন্তর্জাতিক,JJ
671,ক্যারিয়ারে,NN
672,৩৩,NUM
673,টেস্ট,NN
674,ও,CC
675,১২৫,NUM
676,ওয়ানডে,NNP
677,খেলেছেন,VB
678,রফিক,NNP
679,টেস্টে,NNP
680,তার,PRP
681,বোলিং,NN
682,গড়,NN
683,৪০,NUM
684,৭৬,NUM
685,ও,CC
686,ওয়ানডেতে,NNP
687,বোলিং,NN
688,গড়,NN
689,৩৭,NUM
690,৯১,NUM
691,তিনি,PRP
692,বাংলাদেশ,NNP
693,জাতীয়,JJ
694,দলের,NN
695,সাবেক,JJ
696,অধিনায়ক,NN
697,ডাক,NN
698,নাম,VB
699,দুর্জয়,JJ
700,তিনি,PRP
701,৮,NUM
702,টি,article
703,টেস্ট,NN
704,ও,CC
705,২৯,NUM
706,টি,article
707,একদিনের,DT
708,আন্তর্জাতিক,JJ
709,ক্রিকেট,NNP
710,ম্যাচ,NN
711,খেলেন,VB
712,তিনি,PRP
713,মানিকগঞ্জ,NNP
714,১,NUM
715,আসনের,NN
716,সংসদ,NNP
717,সদস্য,NNP
718,এছাড়া,RB
719,তিনি,PRP
720,বাংলাদেশের,NNP
721,ক্রিকেট,NNP
722,ওয়েলফেয়ার,NNP
723,এসোসিয়েসন,NNP
724,এর,PRP
725,প্রেসিডেন্ট,NNP
726,হিন্দুধর্ম,NNP
727,হিন্দুধর্ম,NNP
728,সনাতনধর্ম,NNP
729,ভারতীয়,JJ
730,উপমহাদেশের,NN
731,আধ্যাত্মিক,JJ
732,মতবাদ,NN
733,হিন্দু,JJ
734,ধর্মাবলম্বীগণ,NNP
735,স্বীয়,JJ
736,ধর্মমতকে,NN
737,সনাতন,RB
738,ধর্ম,NN
739,নামেও,NN
740,অভিহিত,RB
741,করেন,VB
742,হিন্দুধর্ম,NN
743,একাধিক,JJ
744,ধর্মীয়,JJ
745,ঐতিহ্যের,NNS
746,সমন্বয়ে,NN
747,গঠিত,
748,এই,DT
749,ধর্মের,NN
750,কোনো,PRP
751,একক,JJ
752,প্রতিষ্ঠাতা,NN
753,নেই,VB
754,লৌহযুগীয়,NNP
755,ভারতের,NNP
756,ঐতিহাসিক,JJ
757,বৈদিক,NNP
758,ধর্মে,NN
759,এই,DT
760,ধর্মের,NN
761,শিকড়,VBN
762,নিবদ্ধ,VB
763,হিন্দুধর্মকে,NN
764,বলা,VB
765,হয়,VB
766,পৃথিবীর,NN
767,প্রাচীনতম,JJS
768,ধর্ম,NN
769,কারন,IN
770,এটি,PRP
771,প্রাচীনযুগে,JJ
772,আর্বিভূত,VBD
773,হয়েছে,VB
774,এই,DT
775,ধর্মের,NN
776,অনুগামীদের,NNS
777,সংখ্যা,NN
778,প্রায়,RB
779,১০০,NUM
780,কোটি,NNS
781,এদের,DT
782,মধ্যে,RB
783,প্রায়,RB
784,৯০,NUM
785,কোটি,NNS
786,হিন্দু,NNP
787,বাস,VB
788,করেন,VB
789,ভারতীয়,JJ
790,প্রজাতন্ত্রে,NNP
791,হিন্দুধর্মের,NN
792,শাস্ত্রগ্রন্থের,NNS
793,সংখ্যা,NN
794,প্রচুর,JJ
795,অনেকের,JJ
796,ধারণা,VBP
797,যে,IN
798,মুহাম্মদ,NNP
799,হলেন,VB
800,এই,DT
801,ধর্মের,NN
802,প্রবর্তক,NN
803,সপ্তম,JJ
804,শতকে,NN
805,তিনি,PRP
806,এই,DT
807,ধর্ম,NN
808,পুনঃপ্রচার,VB
809,করেন,VB
810,পবিত্র,NNP
811,কুরআন,NNP
812,ইসলাম,NN
813,ধর্মের,NNP
814,মূল,JJ
815,ধর্মগ্রন্থ,NN
816,মুসলমানরা,NNP
817,দৃঢ়ভাবে,RB
818,বিশ্বাস,NN
819,করে,VB
820,মৃত্যুর,NN
821,পরে,VB
822,পুনরুত্থানের,NN
823,উপর,JJ
824,এই,DT
825,দিনটিকে,NN
826,হাশরের,NNP
827,দিন,NNP
828,বলা,VB
829,হয়,VB
830,ইহুদি,NNP
831,ও,CC
832,খৃস্ট,NNP
833,ধর্মের,NN
834,ন্যায়,IN
835,ইসলাম,NNP
836,ধর্মও,NN
837,ইব্রাহিমীয়,NNP
838,এবং,CC
839,দ্বিতীয়,JJ
840,বৃহত্তম,JJS
841,ধর্মাবলম্বী,JJ
842,গোষ্ঠী,NN
843,আরবে,NNP
844,এ,JJ
845,ধর্মের,NN
846,গোড়াপত্তন,VB
847,হলেও,IN
848,অধিকাংশ,JJS
849,মুসলমান,NNP
850,অন্যাংশের,NNS
851,আরব,NN
852,দেশের,NNS
853,মুসলমানরা,NNS
854,মোট,JJ
855,মুসলমান,NNS
856,জনসংখ্যার,NN
857,শতকরা,NN
858,মাত্র,RB
859,২০,NUM
860,বিশ,CD
861,ভাগ,VB
862,তাই,RB
863,সাধারণভাবে,JJ
864,প্রোটন,NNS
865,সংখ্যা,NN
866,দ্বারা,IN
867,কোন,DT
868,মৌল,NN
869,চেনা,VB
870,যায়,VB
871,বাকীগুলো,NN
872,বিভিন্ন,JJ
873,যৌগ,NNS
874,গঠন,VB
875,করে,VB
876,অর্থাৎ,UH
877,যৌগিক,NN
878,খনিজ,NNS
879,রূপে,IN
880,বিদ্যমান,VB
881,অন্যদিকে,
882,বায়ুমন্ডলে,NN
883,সবচেয়ে,JJ
884,বেশী,JJS
885,পরিমানে,NN
886,পাওয়া,VB
887,যায়,VB
888,নাইট্রোজেন,NN
889,৭৮,NUM
890,এছাড়াও,RB
891,বায়ুতে,NN
892,রয়েছে,VB
893,অক্সিজেন,NN
894,২০,NUM
895,এবং,CC
896,আর্গন,NN
897,০,NUM
898,৯৭,NUM
899,গ্রীক,NNP
900,দার্শনিক,NN
901,প্লেটো,NNP
902,এই,DT
903,মতামতকে,NN
904,সমর্থন,VB
905,করতেন,VB
906,১৭৮৯,NUM
907,সালে,NN
908,মৌলসমূহের,NNS
909,প্রথম,JJ
910,আধুনিক,JJ
911,তালিকা,NN
912,দেন,VB
913,বিজ্ঞানী,NN
914,ল্যাভয়সিঁয়ে,NNP
915,সেখানে,RB
916,ষেষট্টিটি,CD
917,মৌলের,NNS
918,নাম,VB
919,উল্লেখ,VB
920,ছিল,VB
921,এরপর,RB
922,১৭৫০,NUM
923,সালের,NN
924,দিকে,IN
925,আবিষ্কৃত,VBN
926,হয়,VB
927,ফসফরাস,NNP
928,কোবাল্ট,NNP
929,ও,CC
930,প্লাটিনাম,NNP
931,আড়িয়াল,NNP
932,খাঁ,NNP
933,নদ,NNP
934,আড়িয়াল,NNP
935,খাঁ,NNP
936,পদ্মার,NNP
937,একটি,DT
938,প্রধান,JJ
939,শাখা,NN
940,নদ,NN
941,আড়িয়াল,NNP
942,খাঁ,NNP
943,হচ্ছে,VB
944,ফরিদপুর,NNP
945,মাদারীপুর,NNP
946,ও,CC
947,বরিশাল,NNP
948,জেলার,NNS
949,একটি,DT
950,নদ,NN
951,ইতিহাস,NNP
952,অতীতে,NN
953,নদটির,NN
954,নাম,VB
955,ছিল,VB
956,ভুবনেশ্বর,NNP
957,নদের,NN
958,গতিপথ,NN
959,প্রায়ই,RB
960,আঁকাবাঁকা,JJ
961,নদটি,NNP
962,ভাঙনপ্রবণ,NN
963,এর,PRP
964,ফলে,IN
965,অনেক,JJ
966,জনপদ,NNS
967,এর,PRP
968,গর্ভে,NN
969,বিলীন,VBN
970,হয়েছে,VB
971,মাদারীপুর,NNP
972,শহরও,NN
973,এই,DT
974,নদীর,NN
975,ভাঙনে,NN
976,ক্ষতিগ্রস্থ,VBN
977,হওয়ার,VB
978,প্রবল,JJ
979,আশঙ্কা,NN
980,রয়েছে,VB
981,উনিশ,JJ
982,শতকের,NN
983,শেষ,JJ
984,দিকে,IN
985,আড়িয়াল,NNP
986,খাঁ,NNP
987,ছিল,VBD
988,প্রধান,JJ
989,ধারা,NN
990,বাঁ,NN
991,দিকের,NN
992,প্রবাহিত,JJ
993,অংশ,NN
994,আড়িয়াল,NNP
995,খাঁ,NNP
996,আর,CC
997,ডান,NN
998,দিকে,NN
999,টরকি,NNP
1000,নামে,VB
1001,প্রবাহিত,VB
1002,হচ্ছে,VB
1003,এটি,PRP
1004,গণিত,NNS
1005,শাস্ত্রেও,NN
1006,অধিত,VB
1007,হয়,VB
1008,মূলত,RB
1009,বস্তুর,NN
1010,স্থির,JJ
1011,বা,CC
1012,গতিশীল,JJ
1013,অবস্থা,NN
1014,নিয়ে,IN
1015,এতে,PRP
1016,আলোচনা,VB
1017,করা,VB
1018,হয়,VB
1019,যিনি,PRP
1020,বলবিদ্যা,NN
1021,নিয়ে,IN
1022,পড়াশুনা,NNS
1023,এবং,CC
1024,গবেষণা,NNS
1025,করেন,VB
1026,তাকে,PRP
1027,বলবিজ্ঞানী,NN
1028,বলা,VB
1029,হয়,VB
1030,বলবিদ্যা,NN
1031,প্রযুক্তির,NN
1032,জগতেও,NN
1033,একটি,DT
1034,মৌলিক,JJ
1035,ভূমিকা,NN
1036,পালন,NN
1037,করে,VB
1038,থাকে,VB
1039,এটি,PRP
1040,ভৌত,RB
1041,জ্ঞানসমূহকে,NN
1042,মানুষের,JJ
1043,কাজে,JJ
1044,লাগানোর,VB
1045,উপযোগী,JJ
1046,করে,VB
1047,তৈরি,VB
1048,করে,VB
1049,থাকে,VB
1050,এই,DT
1051,দুটির,CD
1052,মধ্যে,IN
1053,মূলনীতিগত,JJ
1054,বেশ,JJ
1055,ভালো,JJ
1056,রকমের,JJ
1057,পার্থক্য,NN
1058,রয়েছে,VB
1059,এটি,DT
1060,একটি,DT
1061,ভেক্টর,NN
1062,রাশি,NN
1063,যখন,WRB
1064,বস্তুটির,NN
1065,দ্রুতি,NN
1066,বা,CC
1067,দিক,NN
1068,পরিবর্তন,NN
1069,হয়,VB
1070,তখন,JJ
1071,বস্তুটির,NN
1072,ত্বরণ,NN
1073,হয়,VB
1074,সময়ের,NN
1075,সাথে,IN
1076,যত,RB
1077,দ্রুত,NN
1078,এ,DT
1079,পরিবর্তন,VB
1080,হয়,VB
1081,বস্তুটির,NN
1082,ত্বরণও,VB
1083,তত,PRP
1084,বেশি,NN
1085,হয়,VB
1086,ব্যাখ্যা,VB
1087,ধরা,VB
1088,যাক,VB
1089,রাস্তা,NN
1090,দিয়ে,IN
1091,একটি,DT
1092,গাড়ি,NN
1093,একটি,DT
1094,নির্দিষ্ট,JJ
1095,দিকে,NN
1096,চলছে,VB
1097,চালক,NN
1098,গাড়িটির,NN
1099,গতি,NN
1100,বাড়িয়ে,VBD
1101,দিলেন,VB
1102,আরো,JJ
1103,দ্রুত,NN
1104,বেগে,NN
1105,চলতে,VB
1106,লাগল,VB
1107,গাড়িটি,NN
1108,সাধারণভাবে,RB
1109,বলা,VBD
1110,যেতে,VB
1111,পারে,VB
1112,গাড়িটির,NN
1113,ত্বরণ,VB
1114,হচ্ছে,VB
1115,তিনি,PRP
1116,ব্রেক,VBD
1117,কষে,VB
1118,গাড়িটি,NN
1119,থামিয়ে,VB
1120,দিলেন,VB
1121,এবার,DT
1122,বলা,VBD
1123,যায়,VB
1124,গাড়িটির,NN
1125,মন্দন,VB
1126,হচ্ছে,VB
1127,বাংলা,NNP
1128,একটি,DT
1129,দক্ষিণ,JJ
1130,এশীয়,JJ
1131,ইন্দো,JJ
1132,ইউরোপীয়,JJ
1133,ভাষা,NN
1134,বাংলা,NNP
1135,ভাষার,NN
1136,ব্যাকরণ,NN
1137,প্রথম,RB
1138,রচনা,VB
1139,করেন,VB
